Fragment.ID	GSM27015.26.M	GSM27016.26.M	GSM27018.29.M	GSM27021.37.M	GSM27023.40.M	GSM27024.42.M	GSM27025.45.M	GSM27027.52.M	GSM27028.53.M	GSM27031.66.M	GSM27032.70.M	GSM27034.73.M	GSM27035.77.M	GSM27036.80.M	GSM27038.85.M	GSM27040.90.M	GSM27042.91.M	GSM27043.95.M	GSM27017.27.F	GSM27019.30.F	GSM27020.36.F	GSM27022.38.F	GSM27026.48.F	GSM27029.56.F	GSM27030.61.F	GSM27033.71.F	GSM27037.81.F	GSM27039.87.F	GSM27041.90.F	GSM27044.106.F
32438_at	4373.73	4608.64	3557.06	4650.86	3566.42	3517.07	4351.57	5334.17	3577.6	5168.12	3852.49	5399.23	4217.45	4063.58	4630.65	4808.65	4335.4	5293.77	4473.22	3366.62	4379.99	4438.47	3494.28	3778.4	3983.45	3679.32	5308.07	3948.86	3967.16	4548.33
32439_at	85.8609	92.4643	105.346	148.984	286.191	155.183	155.935	124.384	206.943	178.883	160.383	215.901	130.115	184.769	180.254	137.478	155.427	423.278	297.51	184.261	158.53	129.204	159.377	142.768	151.377	163.753	64.7597	149.077	262.535	305.658
32440_at	3219.51	3492.77	2136.83	2587.55	2072.79	2327.28	2926.52	3170.95	2806.09	2971.23	2721.35	2392.11	2605.84	2013.85	3106.47	2813.53	1010.01	2641.95	2399.07	1987.99	2418.9	2567.18	2879.5	2388.58	2453.06	2847.82	3895.18	2673.12	2265.66	2395.51
32441_at	84.7879	111.296	76.7286	66.1502	67.9468	75.3908	106.677	98.4853	139.26	73.9409	64.2947	57.8234	143.315	36.9424	163.528	101.348	29.5547	3.73872	14.9612	55.1215	77.2401	71.8184	112.787	54.3773	91.236	141.411	156.078	89.4747	65.0004	34.9613
32442_at	107.779	79.0728	83.5985	81.5926	79.8056	74.3658	94.2611	53.119	85.9138	56.4169	112.509	65.0573	110.316	97.0216	66.7661	92.6963	88.3552	39.0787	46.5076	70.9229	90.4933	102.815	83.4608	99.1105	59.4783	80.2222	130.065	102.986	101.1	70.012
32443_at	185.942	177.563	179.846	237.457	327.702	213.408	293.6	160.13	284.856	213.389	379.878	260.766	247.941	295.734	259.857	259.901	276.572	346.32	299.349	269.738	251.244	242.437	160.927	226.264	222.964	286.875	214.042	331.633	148.725	261.621
32444_at	3865.5	3838.61	2829.68	3762.77	2769.67	3122.06	3084.56	4246.1	2680.28	3766.16	3068.15	4068.64	3299.98	3046.64	3569.74	3974.84	3131.31	3144.69	3073.33	2946.39	2730.24	3313.22	2922.21	3022.11	3348.96	2813.92	4046.44	3307.56	2654.18	3011.06
32445_at	51.4566	52.7206	117.779	98.0396	71.6262	82.5454	201.155	140.297	70.2556	164.687	79.3003	227.422	46.1106	67.9614	97.5472	52.3612	77.9297	82.6726	66.2657	57.5858	99.8163	56.3783	38.3075	59.5469	67.4078	68.0312	60.8474	119.178	76.776	86.9899
32446_at	140.28	99.1216	172.233	164.878	120.956	140.793	202.719	107.504	162.429	72.1493	195.865	117.736	182.543	90.8632	133.169	197.337	135.582	124.457	22.3282	59.355	134.39	155.791	205.371	183.998	136.173	166.252	238.409	155.117	144.68	123.636
32447_at	650.685	497.375	614.26	708.48	530.594	558.56	596.716	498.316	592.13	542.98	697.668	622.387	602.357	484.058	588.509	547.17	478.786	510.593	387.861	442.315	601.47	619.244	565.563	602.596	498.55	669.176	569.802	570.344	627.033	742.51
32448_at	449.704	294.937	423.302	446.031	338.616	442.033	321.655	287.259	523.39	366.591	382.656	323.493	349.557	478.297	248.87	369.77	420.938	467.8	404.631	531.146	326.689	367.353	529.324	293.368	397.142	450.478	325.481	361.386	165.503	301.445
32449_at	213.785	169.204	245.65	239.529	342.333	322.424	379.722	246.625	529.355	231.99	206.599	264.451	201.853	263.464	475.811	253.543	223.927	309.375	294.733	242.655	264.626	262.339	797.106	279.482	191.912	493.823	119.056	251.826	440.005	311.367
32450_at	19.9554	18.1268	48.6861	69.6095	30.4052	27.5809	47.4105	41.0538	37.5513	15.4382	57.921	68.1013	45.1952	25.151	59.6408	30.8416	35.4596	27.4754	13.6822	34.1529	25.3627	7.91283	32.3326	31.793	26.3428	30.0634	46.5166	39.0663	16.7204	58.8318
32451_at	52.9417	33.4445	38.122	51.7698	58.7334	49.6788	33.411	41.7709	51.6609	19.18	59.6678	34.6733	56.7968	47.4716	34.7293	59.9107	39.3099	56.0444	133.041	21.5802	54.225	48.9738	45.827	55.3753	44.8849	36.0714	141.586	40.9275	31.7383	64.1976
32452_at	501.19	470.38	597.072	650.322	483.573	575.486	396.611	514.357	357.473	457.393	492.914	558.275	425.029	520.056	375.108	513.585	521.909	561.376	849.309	504.763	442.217	489.172	438.766	565.877	502.384	382.172	401.724	437.868	509.611	503.921
32453_at	286.238	194.588	220.8	217.37	234.725	222.322	238.857	266.492	245.43	241.442	275.096	281.86	231.372	266.906	289.361	200.882	234.774	353.726	205.236	212.871	274.723	269.303	245.674	216.382	217.155	254.145	225.39	270.861	245.257	313.839
32454_at	17.1811	13.4694	5.90269	2.04144	0.001	7.25921	1.7203	0.001	4.62686	6.1087	1.25407	6.0189	2.79857	0.001	28.2347	5.62142	0.001	0.001	0.001	0.001	13.2261	0.001	35.7329	3.08309	0.001	9.99538	14.9032	0.001	0.001	2.45542
32455_s_at	96.4658	108.309	79.99	79.189	79.9425	59.0447	65.1188	81.1829	62.762	132.39	99.205	113.648	67.9831	92.8031	73.2122	119.349	77.6156	67.5229	49.2392	74.3882	105.091	82.9608	46.7962	47.5088	81.9495	61.5352	109.24	113.14	51.3027	74.119
32456_s_at	135.459	126.806	100.193	71.5247	47.3757	120.128	84.6451	99.4943	146.817	93.7758	89.836	69.5408	114.603	31.7108	54.0573	62.5705	24.5827	19.5182	36.1749	44.3308	120.852	149.899	129.332	56.7337	123.422	116.789	104.559	49.8226	97.3615	50.1987
32457_f_at	619.137	285.086	688.414	705.03	588.628	632.883	653.577	409.013	718.867	449.03	625.122	445.734	356.516	475.741	541.937	507.216	507.494	348.24	439.315	424.04	466.776	457.384	1068.78	648.265	558.405	631.118	388.452	546.096	515.522	665.048
32458_f_at	1523.95	1251.31	1534.25	1562.19	1434.89	1436.93	1346.04	1290.22	1706.62	1509.6	1385.27	1535.85	1261.12	1511.02	1780.74	1325.74	1724.13	2018.69	1834.3	1462.23	1331.86	1440.6	1719.69	1465.13	1260.78	1506.05	1163.93	1290.54	2280.47	1674.26
32459_at	1162.15	1048.78	1207.42	1271.6	1833.44	1131.07	1336.31	1228.07	1291.48	1353.52	1402.23	1324.15	960.597	1325.07	1076.04	1128.97	1268.39	1774.01	2033.47	1727.42	1423.94	1338.31	1040.62	1177.8	1322.14	1309.78	847.315	1399.81	1397.66	1527.67
32460_at	244.412	205.484	314.67	281.153	225.122	253.588	235.545	189.716	255.823	231.915	237.304	229.818	254.027	294.329	149.924	259.673	289.186	249.048	238.26	294.484	248.077	298.103	220.735	263.243	267.861	192.832	230.646	249.16	213.887	222.927
32461_f_at	30.932	20.9019	24.5717	22.3593	17.204	15.3058	21.211	16.8565	22.7373	23.3169	18.516	13.4276	17.2925	22.5725	16.8107	18.8709	16.582	38.2106	30.7217	18.3462	27.4041	26.2883	19.0513	26.4324	15.9795	17.3543	17.6883	30.6201	38.3058	22.4223
32462_s_at	195.622	86.3912	294.902	257.947	208.875	194.707	187.519	108.858	158.12	120.393	246.97	192.303	159.011	226.223	88.522	219.147	340.367	338.311	441.843	218.906	135.89	151.834	117.352	171.187	181.76	108.465	142.026	154.725	103.982	262.974
32463_at	168.312	55.3356	146.76	226.547	162.399	175.057	85.2465	140.736	113.509	108.409	64.8956	597.03	118.697	213.365	80.4184	153.346	164.538	730.414	0.001	141.078	126.799	213.24	81.499	160.946	8.80348	155.236	90.0605	131.608	0.001	265.505
32464_at	540.567	362.339	661.711	594.723	609.554	618.007	520.331	496.183	628.787	559.608	550.188	531.785	449.496	740.25	446.693	548.305	732.77	436.02	466.416	704.214	654.549	624.521	584.154	530.356	565.426	548.007	439.641	593.749	416.183	446.239
32465_at	62.4746	59.5076	72.3705	96.113	57.8035	87.7331	64.1534	84.7229	64.5322	64.5274	62.8347	92.5245	61.702	93.9757	60.9006	60.1051	114.952	93.9832	134.134	105.793	42.4508	46.4795	92.5696	73.5134	71.2677	25.2328	73.6816	51.3808	6.79527	80.647
32466_at	5695.45	5761.37	4964.36	5592.14	4258.29	4644.45	5115.63	6007.96	5221.59	5856.28	4507.8	5524.48	4662.5	5008.89	5383.32	5236.39	5448.72	4386.84	4181.75	5129.93	4944.19	5410.82	4327.49	5197.45	4910.91	5053.37	5720.21	5192.97	4521.3	5413.82
32467_at	820.491	502.72	618.846	906.069	596.414	1002.47	766.955	563.051	613.74	499.872	1051.02	818.344	1018.54	877.865	699.503	1349.87	927.654	1524.86	922.845	420.723	574.856	622.668	810.745	764.689	766.168	622.714	938.539	683.132	726.85	1093.29
32468_f_at	1017.07	896.341	1086.85	1099.37	951.491	913.562	885.847	734.706	1070.39	876.22	1038.84	946.823	1061.28	1017.18	853.675	884.043	1034.84	749.454	789.974	1048.69	1014.75	903.332	872.86	837.251	811.299	849.227	880.359	968.597	954.798	972.032
32469_at	1517.89	905.073	1403.2	1590.8	1422.92	1336.52	1591.78	939.039	1644.1	1079.83	1488.77	1232.27	1423.59	1073.79	1317.42	1427.41	1226.36	886.286	947.861	1103.81	1298.07	1320.07	1246.13	1331.69	1127.35	1558.83	1399.8	1440.55	1129.18	1327.04
